fecha,referencia,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
04/06/2001,P1,-2.1738136347299326,0.5606870363702026,-0.2446532534247284,-2.1900723925504033e-05,-0.1986418924496612,-0.2971023853797573,-0.44997650505946535,-0.3158060863282852,-0.2831854956012835,-0.04834859503035328
04/06/2001,P2,-2.1353262334328504,0.5045530224650349,-0.09553600541734138,-0.3053016958452967,-0.18352994861601676,0.05655771235422847,-0.20773399187698652,-0.030956276418439715,0.008386723885998718,-0.05717004266299015
04/06/2001,P3,-2.165983924481471,0.45817621961186705,-0.0023232320142798297,-0.32694885876893703,-0.16664172934112484,0.09985570606446637,-0.20886682118601285,0.031740568750184765,0.08976099852576322,0.017689274342041646
04/06/2001,P4,-2.2116126666354217,0.5039659254068148,-0.12992699350069448,-0.042171593433346345,-0.18956626260617468,-0.22325489276325744,-0.4436162435019221,-0.23036197745697795,-0.1798096160225986,0.05026417263826008
04/07/2001,P1,-2.3242922778591177,0.4603971762066586,-0.13630297071813446,0.2027395510529855,-0.16646976676278252,-0.2966348706444416,-0.4884939734714344,-0.3537472074530325,-0.3371116774775674,0.18433459139430589
04/07/2001,P2,-2.132547972183926,0.5322143481983357,-0.26225580112307423,0.07816126563644436,-0.22743039438882656,-0.3378149503908606,-0.47231549203108797,-0.4220918818870879,-0.3927604974406934,-0.015021408997094718
04/07/2001,P3,-2.11719725089363,0.47898413643536486,-0.2066974395485496,0.0787459550691322,-0.23159624389182326,-0.32555770791349753,-0.46865372680376105,-0.4201900265076922,-0.3830899730866161,0.023729787411279905
04/07/2001,P4,-2.098488038536588,0.5224250920530217,-0.25404552021576315,0.10660717727375964,-0.23065758875764086,-0.21566396720876635,-0.34650439249775433,-0.424519561311386,-0.4643555499081655,0.012026179748351056
20/03/2002,P1,-2.3582855583949427,0.3392623451445556,-0.0344053934956575,0.2178006589021202,-0.236129122891076,-0.07183858898585989,-0.44351989295126465,-0.2886531915891581,-0.3456430027794648,0.3934739260231677
20/03/2002,P2,-2.2374995910446485,0.4258447663736716,-0.23349403462701443,0.15253633463222574,-0.2429583788560593,-0.1558807646458703,-0.5447325407135681,-0.16173564747117863,-0.3701112629057456,0.3756757341361441
20/03/2002,P3,-2.3607090346076456,0.3656763624189633,-0.04618679382834647,0.09838908701227736,-0.31808876629139965,-0.10502099491619894,-0.5519569111320489,-0.30487630005749267,-0.2691376718385423,0.3324337234688785
20/03/2002,P4,-2.219520805251279,0.348195281171913,-0.011623477368168173,-0.0766073154504389,-0.3139978661570157,-0.0009775643515093112,-0.491926270031063,-0.15744757056090153,-0.18820975979533866,0.3396434575925797
06/11/2002,P1,0.17291469293247672,-1.1827287268440598,0.5826364099038167,0.8239985337900144,-1.1635796351137575,1.0749617383492451,-1.0197694969420332,0.9897536164212096,-0.008544581014653364,-0.6205731406011021
06/11/2002,P2,0.560415645797817,-1.2848823719770857,0.892872045935819,0.0752510219900072,-1.0202210399998743,1.3352771653925946,-0.6718368102401016,1.4739358660510995,0.6706743322965545,-0.8830806433041222
06/11/2002,P3,0.5473980518909936,-1.2770928719282848,0.871742355309081,-0.0013359614529976273,-1.1601927546112576,1.4794947076000817,-0.7231489815153337,1.4762805532978744,0.6590110572967123,-0.8285324520062115
06/11/2002,P4,0.3751856764755783,-1.2168251076551249,0.6020276546929202,-0.05599120418627498,-1.959825216540523,2.0964410740475845,-1.1616767402163872,1.2474772669770569,0.2082387817941375,-0.3769963408597316
04/12/2002,P1,-1.6743819088352847,0.08263589124201137,0.16682286804821864,-0.43638347327003596,0.082315365976343,0.348337239998788,0.1616497423469855,0.46525586777995404,0.6110934524612821,0.4271105579063241
04/12/2002,P2,-1.6020878813129573,0.024717362389409168,-0.18631921653495395,0.2856745385819088,-0.24056611695695346,0.0375102863394258,-0.2825425183531778,-0.28190060029737574,-0.4291398339794947,0.792489446574285
04/12/2002,P3,-1.5587089473920435,0.13653776517514335,0.21863261418946633,-0.656246637402354,0.0923464454593451,0.396641193995799,0.2354414392449667,0.5694599941348578,0.7988145917568444,0.27505476768283593
04/12/2002,P4,-1.4276184946533437,0.09020349507916482,0.4153073375149149,-1.1010281059990985,0.19928741557371338,0.5516837543936721,0.46403495933667954,0.8796299237725512,1.3084562393558388,0.04827691100902218
31/03/2003,P1,-1.3093975348493105,0.6056956314046774,-0.38987536877837675,-0.6167912371270049,-0.07594927041639726,-0.13963721010505734,-0.034211895114993694,0.13718064961710721,0.3994759331575144,-0.38322819054521823
31/03/2003,P2,-1.072939151484648,0.5141843150488954,-0.2628263461755504,-0.9051474177561629,0.00580531699450381,-0.05445059122795038,0.11048452960588984,0.33034986695317187,0.5945360446573943,-0.41953818300209944
31/03/2003,P3,-0.3763602988714494,0.1706733865747665,-0.15202892900092277,0.0374975866186377,0.006643468208644162,-0.008488552035511961,-0.08498953097639275,0.050055536612924986,0.004310913921956037,0.05631271857785442
31/03/2003,P4,-0.3763602988714494,0.1706733865747665,-0.15202892900092277,0.0374975866186377,0.006643468208644162,-0.008488552035511961,-0.08498953097639275,0.050055536612924986,0.004310913921956037,0.05631271857785442
28/04/2003,P1,3.726310132240474,0.03710345862955883,-0.9844625369232536,-0.9089961275045914,-2.1125763120916248,0.45399168153562974,-0.0549058392784789,-2.3494940791010785,0.08443720463995173,-2.022096105094328
28/04/2003,P2,3.71878776692567,0.06561689121974751,-0.9913847988211535,-0.9868862031495441,-2.26649315464838,0.6156369208931343,-0.1115781433714349,-2.3474692690446624,0.0696349915260651,-1.9567741819039768
28/04/2003,P3,3.717905187751593,0.006205368039002194,-1.0056099124868274,-0.9086854996022845,-2.095037959821604,0.4310283278469336,-0.048294219567466955,-2.349537280773492,0.08882751376555735,-2.0365496474448403
28/04/2003,P4,2.8044312445646256,-0.07102850291708696,-0.9889415723796071,-0.18220389399502565,-2.411661391743638,0.6954165682906246,-0.6743085418555901,-2.1213211576344086,-0.4701379186661836,-1.6384490837524395
23/07/2003,P1,-1.5353189809965218,0.6395538508709033,-0.7332271879755515,0.05198571382482081,-0.28397022092581603,-0.34608165672588725,-0.4082941288425431,-0.347999396229799,-0.40166097902628206,-0.01600932497049966
23/07/2003,P2,-1.548365141395518,0.6524705948681138,-0.7046368663071987,0.059942035351553985,-0.30084801069700295,-0.30889224069068605,-0.41399936660351133,-0.3408760966966483,-0.4016842169240872,0.020334453960039908
