PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster_abck
-2.1738136347299326,0.5606870363702026,-0.2446532534247284,-2.1900723925504036e-05,-0.1986418924496612,-0.2971023853797573,-0.4499765050594653,-0.3158060863282852,-0.2831854956012835,-0.0483485950303532,1
-2.1353262334328504,0.5045530224650349,-0.0955360054173413,-0.3053016958452967,-0.1835299486160167,0.0565577123542284,-0.2077339918769865,-0.0309562764184397,0.0083867238859987,-0.0571700426629901,1
-2.165983924481471,0.458176219611867,-0.0023232320142798,-0.326948858768937,-0.1666417293411248,0.0998557060644663,-0.2088668211860128,0.0317405687501847,0.0897609985257632,0.0176892743420416,1
-2.2116126666354217,0.5039659254068148,-0.1299269935006944,-0.0421715934333463,-0.1895662626061746,-0.2232548927632574,-0.4436162435019221,-0.2303619774569779,-0.1798096160225986,0.05026417263826,1
-2.3242922778591177,0.4603971762066586,-0.1363029707181344,0.2027395510529855,-0.1664697667627825,-0.2966348706444416,-0.4884939734714344,-0.3537472074530325,-0.3371116774775674,0.1843345913943058,1
-2.132547972183926,0.5322143481983357,-0.2622558011230742,0.0781612656364443,-0.2274303943888265,-0.3378149503908606,-0.4723154920310879,-0.4220918818870879,-0.3927604974406934,-0.0150214089970947,1
-2.11719725089363,0.4789841364353648,-0.2066974395485496,0.0787459550691322,-0.2315962438918232,-0.3255577079134975,-0.468653726803761,-0.4201900265076922,-0.3830899730866161,0.0237297874112799,1
-2.098488038536588,0.5224250920530217,-0.2540455202157631,0.1066071772737596,-0.2306575887576408,-0.2156639672087663,-0.3465043924977543,-0.424519561311386,-0.4643555499081655,0.012026179748351,1
-2.3582855583949427,0.3392623451445556,-0.0344053934956575,0.2178006589021202,-0.236129122891076,-0.0718385889858598,-0.4435198929512646,-0.2886531915891581,-0.3456430027794648,0.3934739260231677,1
-2.2374995910446485,0.4258447663736716,-0.2334940346270144,0.1525363346322257,-0.2429583788560593,-0.1558807646458703,-0.5447325407135681,-0.1617356474711786,-0.3701112629057456,0.3756757341361441,1
-2.3607090346076456,0.3656763624189633,-0.0461867938283464,0.0983890870122773,-0.3180887662913996,-0.1050209949161989,-0.5519569111320489,-0.3048763000574926,-0.2691376718385423,0.3324337234688785,1
-2.219520805251279,0.348195281171913,-0.0116234773681681,-0.0766073154504389,-0.3139978661570157,-0.0009775643515093,-0.491926270031063,-0.1574475705609015,-0.1882097597953386,0.3396434575925797,1
0.1729146929324767,-1.1827287268440598,0.5826364099038167,0.8239985337900144,-1.1635796351137575,1.0749617383492451,-1.0197694969420332,0.9897536164212096,-0.0085445810146533,-0.6205731406011021,0
0.560415645797817,-1.2848823719770857,0.892872045935819,0.0752510219900072,-1.0202210399998743,1.3352771653925946,-0.6718368102401016,1.4739358660510995,0.6706743322965545,-0.8830806433041222,0
0.5473980518909936,-1.2770928719282848,0.871742355309081,-0.0013359614529976,-1.1601927546112576,1.4794947076000815,-0.7231489815153337,1.4762805532978744,0.6590110572967123,-0.8285324520062115,0
0.3751856764755783,-1.2168251076551249,0.6020276546929202,-0.0559912041862749,-1.959825216540523,2.0964410740475845,-1.1616767402163872,1.2474772669770569,0.2082387817941375,-0.3769963408597316,0
-1.6743819088352847,0.0826358912420113,0.1668228680482186,-0.4363834732700359,0.082315365976343,0.348337239998788,0.1616497423469855,0.465255867779954,0.6110934524612821,0.4271105579063241,1
-1.602087881312957,0.0247173623894091,-0.1863192165349539,0.2856745385819088,-0.2405661169569534,0.0375102863394258,-0.2825425183531778,-0.2819006002973757,-0.4291398339794947,0.792489446574285,1
-1.5587089473920437,0.1365377651751433,0.2186326141894663,-0.656246637402354,0.0923464454593451,0.396641193995799,0.2354414392449667,0.5694599941348578,0.7988145917568444,0.2750547676828359,1
-1.4276184946533437,0.0902034950791648,0.4153073375149149,-1.1010281059990985,0.1992874155737133,0.5516837543936721,0.4640349593366795,0.8796299237725512,1.3084562393558388,0.0482769110090221,1
-1.3093975348493103,0.6056956314046774,-0.3898753687783767,-0.6167912371270049,-0.0759492704163972,-0.1396372101050573,-0.0342118951149936,0.1371806496171072,0.3994759331575144,-0.3832281905452182,1
-1.072939151484648,0.5141843150488954,-0.2628263461755504,-0.9051474177561628,0.0058053169945038,-0.0544505912279503,0.1104845296058898,0.3303498669531718,0.5945360446573943,-0.4195381830020994,1
-0.3763602988714494,0.1706733865747665,-0.1520289290009227,0.0374975866186377,0.0066434682086441,-0.0084885520355119,-0.0849895309763927,0.0500555366129249,0.004310913921956,0.0563127185778544,1
-0.3763602988714494,0.1706733865747665,-0.1520289290009227,0.0374975866186377,0.0066434682086441,-0.0084885520355119,-0.0849895309763927,0.0500555366129249,0.004310913921956,0.0563127185778544,1
3.726310132240474,0.0371034586295588,-0.9844625369232536,-0.9089961275045914,-2.1125763120916248,0.4539916815356297,-0.0549058392784789,-2.3494940791010785,0.0844372046399517,-2.022096105094328,0
3.71878776692567,0.0656168912197475,-0.9913847988211536,-0.986886203149544,-2.26649315464838,0.6156369208931343,-0.1115781433714349,-2.3474692690446624,0.0696349915260651,-1.9567741819039768,0
3.717905187751593,0.0062053680390021,-1.0056099124868274,-0.9086854996022844,-2.095037959821604,0.4310283278469336,-0.0482942195674669,-2.349537280773492,0.0888275137655573,-2.0365496474448403,0
2.8044312445646256,-0.0710285029170869,-0.9889415723796072,-0.1822038939950256,-2.411661391743638,0.6954165682906246,-0.6743085418555901,-2.1213211576344086,-0.4701379186661836,-1.6384490837524397,0
-1.5353189809965218,0.6395538508709033,-0.7332271879755515,0.0519857138248208,-0.283970220925816,-0.3460816567258872,-0.4082941288425431,-0.347999396229799,-0.401660979026282,-0.0160093249704996,1
-1.548365141395518,0.6524705948681138,-0.7046368663071987,0.0599420353515539,-0.3008480106970029,-0.308892240690686,-0.4139993666035113,-0.3408760966966483,-0.4016842169240872,0.0203344539600399,1
-1.3686454939482862,0.5753634598093421,-0.7187981949333395,-0.0020170142334669,-0.2688640103483654,-0.3401065227718774,-0.3914248831575745,-0.3254590135856682,-0.4851020679661362,0.069572620619821,1
-1.3689809369324124,0.5501226406535259,-0.6640862252289058,-0.0388624727403706,-0.2469058933443458,-0.3523369368380412,-0.3968356927239898,-0.2885399933905678,-0.406890365767081,0.0735413153212523,1
-1.3642582897654472,0.9574023877402807,-0.8520213385983639,-0.4839179849028238,-0.5762445164545938,-0.4438535166779096,-0.5482091816622531,-0.5476473819024962,-0.6294585662593725,-0.7421034140795137,1
-1.079481050982447,0.932654180512306,-0.6218615427357237,-1.1171652571519954,-0.4312186884822089,-0.2505593315835761,-0.2799043620737698,-0.0526137957575544,0.0729977359227895,-1.0291649912919425,1
0.8871472279340077,0.6600878035818659,-2.164691029241524,-0.6737741891677276,0.1312509329079101,-0.8591621302732354,-1.080167314595867,1.4482352721733316,-1.531919296473124,0.6765990388684988,1
0.6411810381923299,0.5376921752442894,-1.3007144754254023,-1.4362006498776585,0.174620726689955,-0.4468071984821375,-0.5710591481754476,1.4931186785141493,-0.4514934916760137,0.0619872753011754,1
-1.7661481402695804,0.6157749381306642,-0.305888011189717,-0.335373514255432,-0.3972989378898707,-0.3319504668274451,-0.4935173300803367,-0.4245905327819651,-0.2625506857499296,-0.3437733523677312,1
-1.549283345420451,0.566318290961666,0.0154409476602718,-0.995149077344859,-0.2395562388567524,-0.0931372524801095,-0.1475383850750763,0.0342478240603131,0.5042034447246666,-0.6829154930594573,1
-1.7272826298537431,0.5965679840456981,-0.2522209470055103,-0.4418086649770937,-0.4087598898635541,-0.2866139340726464,-0.4734634315613061,-0.3733027508792939,-0.1494588931232302,-0.3774796324662486,1
-1.71610786096611,0.5922578776027881,-0.24383128112126,-0.4437612851213265,-0.4176298392808325,-0.2787318222424441,-0.4716315134594949,-0.3839133551143266,-0.1507063307394886,-0.3733160383280861,1
-1.5400785791948348,0.6241618552180196,-0.0426427917369893,-1.010571823756035,-0.2432973833124594,-0.0170451906731859,-0.0659748229099801,0.0514325027550119,0.457881279940929,-0.72788787534236,1
-1.711468425567379,0.4850223521845445,0.0999545761506297,-0.8839109576572631,-0.2077166489463132,0.0828926966218064,-0.0560656458519349,0.101657478501462,0.4962657040421919,-0.488178049993414,1
-1.7164516069428262,0.480900755398971,0.0988451181411684,-0.8835055478844993,-0.2041600023323282,0.0798330629653014,-0.0546454169230299,0.1017020268858984,0.4933562268401644,-0.4842722899745899,1
-1.8985369694552632,0.5417715312811461,-0.2392114247749421,-0.2615540905699623,-0.3966933325232062,-0.1686739422432792,-0.4298363533761963,-0.3761385273027897,-0.2709813335119365,-0.1729248180968857,1
-1.9035914067463573,0.486288546524515,-0.12687091280418,-0.3240644175989407,-0.3553991706874493,-0.2122549463438772,-0.4610799179483593,-0.3152138610979631,-0.1226633232389858,-0.1492160161772016,1
-1.7764090373178607,0.6277347334826798,-0.3292278178613632,-0.3629711690307451,-0.4699271042092424,-0.2673327959991399,-0.5277934536274841,-0.4314140482306169,-0.2799293030857749,-0.3157713988311955,1
-1.967468288818852,0.5023463741572886,-0.2369109850145289,-0.0722169482622093,-0.3837189241908355,-0.3214959933961146,-0.5688080886819931,-0.4792278349300462,-0.3738670892821479,-0.0406724412530368,1
-1.7824265501601422,0.6173197302968575,-0.3292972656698272,-0.3529781186487464,-0.4847719025053397,-0.2791850284940598,-0.5563075588677592,-0.4498146932165192,-0.3041886828541243,-0.2818333300862079,1
-2.2755159932813047,0.4388114546171221,-0.2038222456106542,0.1887978965134548,-0.2859996049280532,-0.128298474885189,-0.4377758654167842,-0.3876621372466529,-0.3260886165648882,0.242536376073577,1
-2.201440507548967,0.4754327536246175,-0.320546649525907,0.2390266882808875,-0.2903001477352336,-0.0759904302808982,-0.3684035798161446,-0.4202993110856607,-0.242051797127252,0.27207757449718,1
-1.6800778989501974,0.4315198212987112,-0.7324368558755203,0.2470143145994313,-0.1120875391175411,-0.2236810196666074,-0.5798562052834746,0.2518669144582676,-0.5040261263657272,0.7290196044642864,1
-1.8916561161609888,0.4321319038632608,-0.5237105257337747,0.1882503641101238,-0.1923414357037144,-0.0822425284976662,-0.445613587505366,0.015986133605304,-0.2709630053620613,0.5660820454313014,1
-1.2140708601934465,0.979134256934977,-0.7459388194464898,-0.7583609641906132,-0.5917436184218186,-0.3496082354463459,-0.362154001622885,-0.5578824919258549,-0.3714227276514431,-1.082695439329186,1
-1.1402282918365645,0.8816491289322385,-0.370693262783622,-1.3065465681588395,-0.4285875905882574,-0.1147860868602592,-0.0952444068016092,-0.0948096996456691,0.3595662738248438,-1.2343949738157318,1
-1.1561410314857792,1.0471695463700972,-0.9385964364963126,-0.7168271263900969,-0.6355736948763137,-0.4137290731813762,-0.5080992805049862,-0.5045486196428492,-0.5407915207600825,-0.9670784710988783,1
-1.3979590682248608,0.998504817844885,-0.8792772197322375,-0.5246271158675623,-0.7350941528487358,-0.2296518173577193,-0.470184731604276,-0.6740110357660056,-0.6607957005853252,-0.8189028200712598,1
-2.3104174659133427,0.473714624699895,-0.2196401194320138,0.1966431663755316,-0.199019720240335,-0.1966226005935452,-0.4206268052500067,-0.316394515989719,-0.3918888503574627,0.1776930419530806,1
-2.185822684673528,0.7747886515394439,-0.0747109043417302,0.1903632989267089,-0.2512290713579472,-0.2101176416843577,-0.4734351942129985,-0.363935121247773,-0.3836870101933634,0.1202678170343791,1
-2.252179210892255,0.5203286417859861,-0.3283383379048674,0.1957637311761421,-0.1872424388882092,-0.1295929993111744,-0.3215316239753726,-0.2829661585192142,-0.462747891214423,0.1240804757326208,1
